data,cidade,casos
10-3-2020,Campo Bom,1
11-3-2020,Campo Bom,1
11-3-2020,Porto Alegre,1
12-3-2020,Campo Bom,1
12-3-2020,Porto Alegre,2
12-3-2020,Caxias do Sul,1
13-3-2020,Campo Bom,1
13-3-2020,Porto Alegre,4
13-3-2020,Caxias do Sul,1
14-3-2020,Campo Bom,1
14-3-2020,Porto Alegre,5
14-3-2020,Caxias do Sul,1
15-3-2020,Campo Bom,1
15-3-2020,Porto Alegre,5
15-3-2020,Caxias do Sul,1
16-3-2020,Campo Bom,1
16-3-2020,Porto Alegre,6
16-3-2020,Caxias do Sul,1
17-3-2020,Campo Bom,1
17-3-2020,Porto Alegre,16
17-3-2020,Caxias do Sul,2
18-3-2020,Campo Bom,1
18-3-2020,Porto Alegre,16
18-3-2020,Caxias do Sul,2
18-3-2020,Serafina Corrêa,1
19-3-2020,Campo Bom,2
19-3-2020,Porto Alegre,20
19-3-2020,Caxias do Sul,2
19-3-2020,Serafina Corrêa,1
19-3-2020,Alvorada,1
19-3-2020,Bagé,2
19-3-2020,Erechim,1
19-3-2020,Farroupilha,1
19-3-2020,Torres,1
20-3-2020,Campo Bom,2
20-3-2020,Porto Alegre,25
20-3-2020,Caxias do Sul,2
20-3-2020,Serafina Corrêa,2
20-3-2020,Alvorada,1
20-3-2020,Bagé,2
20-3-2020,Erechim,3
20-3-2020,Farroupilha,1
20-3-2020,Torres,1
20-3-2020,Ivoti,2
20-3-2020,Santana do Livramento,2
21-3-2020,Alvorada,2
21-3-2020,Bagé,3
21-3-2020,Bento Gonçalves,2
21-3-2020,Campo Bom,2
21-3-2020,Canoas,2
21-3-2020,Carlos Barbosa,1
21-3-2020,Caxias do Sul,2
21-3-2020,Charqueadas,1
21-3-2020,Dois Irmãos,1
21-3-2020,Eldorado do Sul,1
21-3-2020,Erechim,3
21-3-2020,Estrela,1
21-3-2020,Farroupilha,1
21-3-2020,Ivoti,2
21-3-2020,Lajeado,1
21-3-2020,Porto Alegre,35
21-3-2020,Santana do Livramento,2
21-3-2020,São Leopoldo,1
21-3-2020,Serafina Correa,2
21-3-2020,Taquara,1
21-3-2020,Torres,2
21-3-2020,Viamão,1
22-3-2020,Alvorada,2
22-3-2020,Bagé,3
22-3-2020,Bento Gonçalves,2
22-3-2020,Campo Bom,2
22-3-2020,Canoas,3
22-3-2020,Carlos Barbosa,1
22-3-2020,Caxias do Sul,2
22-3-2020,Charqueadas,1
22-3-2020,Dois Irmãos,1
22-3-2020,Eldorado do Sul,1
22-3-2020,Erechim,2
22-3-2020,Estância Velha,1
22-3-2020,Estrela,1
22-3-2020,Farroupilha,1
22-3-2020,Ivoti,2
22-3-2020,Lajeado,2
22-3-2020,Porto Alegre,38
22-3-2020,Santa Maria,1
22-3-2020,Santana do Livramento,2
22-3-2020,Santo Antonio da Patrulha,1
22-3-2020,São Leopoldo,1
22-3-2020,Serafina Correa,2
22-3-2020,Taquara,1
22-3-2020,Torres,2
22-3-2020,Viamão,1
